numero_ley,resumen,url
14278,"QUEDAN SUSPENDIDOS POR 180 DíAS EN LA PROVINCIA LOS TRáMITES PARA LA OBTENCIóN DE HABILITACIONES, PROVISORIAS Y/O DEFINITIVAS QUE APRUEBEN LA PUESTA EN FUNCIONAMIENTO O APERTURA DE MERCADOS Y/O FERIAS INFORMALES.(REF.LEY 14155)",https://normas.gba.gob.ar/ar-b/ley/2011/14278/11530
4330,CONSTRUCCION DEL EDIFICIO PARA LA ESCUELA Nº 43 DE LA PLATA.,https://normas.gba.gob.ar/ar-b/ley/1935/4330/10862
8550,"DONACION A LA PLATA RUGBY CLUB TIERRA FISCAL EN LA LOCALIDAD DE GONNET, PARTIDO DE LA PLATA, CON DESTINO A CAMPO DE DEPORTES.",https://normas.gba.gob.ar/ar-b/ley/1975/8550/6886
1498,CREACION DE PUESTOS Y AUMENTO DE SUELDO EN LA SUPREMA CORTE DE JUSTICIA.,https://normas.gba.gob.ar/ar-b/ley/1882/1498/11814
923,ADQUISICION Y ARREGLO DE MUEBLES PARA EL SENADO.,https://normas.gba.gob.ar/ar-b/ley/1874/923/14994
918,SUSCRIPCION A LAS OBRAS DE HILARIO ASCASUBI.,https://normas.gba.gob.ar/ar-b/ley/1874/918/14913
1494,COMISION DE ESTUDIOS AGRICOLAS EN AUSTRALIA Y ESTADOS UNIDOS. (LEY 1748 DETERMINA CREDITO SUPLEMENTARIO).,https://normas.gba.gob.ar/ar-b/ley/1882/1494/11750
1493,AUMENTO DEL PERSONAL DE POLICIA.,https://normas.gba.gob.ar/ar-b/ley/1882/1493/11734
919,ORGANIZACION DE LA POLICIA RURAL.,https://normas.gba.gob.ar/ar-b/ley/1874/919/14929
924,PRESUPUESTO DE LA CAMARA DE DIPUTADOS PARA 1875.,https://normas.gba.gob.ar/ar-b/ley/1874/924/15010
11339,"DECLáRASE DE INTERéS PROVINCIAL EL PRIMER CURSO DE ACTUALIZACIóN Y PERFECCIONAMIENTO EN EPIDEMIOLOGíA, A REALIZARSE EN EL HOSPITAL DOCTOR RICARDO GUTIéRREZ, DE LA CIUDAD DE LA PLATA, ENTRE LOS MESES DE MAYO A OCTUBRE DE 1992.",https://normas.gba.gob.ar/ar-b/ley/1992/11339/5485
4327,"MODIFICANDO EL ITEM 1, INCISO 20 DEL PRESUPUESTO AñO 1935, RELACIONADO CON SUELDOS DE POLICIA.",https://normas.gba.gob.ar/ar-b/ley/1935/4327/10863
915,"INTERPRETACION DE LA LEY 709 SOBRE VENTA DE TIERRA PUBLICA.(FUE SANCIONADA EN 1875 POR ERROR SE INCLUYO EN ESTA NUMERACION, APROBADA POR LEY 3862)",https://normas.gba.gob.ar/ar-b/ley/1874/915/14863
2933,"CREDITO SUPLEMENTARIO DE 7900 PESOS, PARA PAGO DE HONORARIOS A RODOLFO MORENO, PERITOS Y ESCRIBANOS DEL TRBUNAL QUE FIJO LOS MISMOS.",https://normas.gba.gob.ar/ar-b/ley/1905/2933/14344
8565,"DONANDO AL CENTRO DE EGRESADOS DE LA NAVEGACION A VELA (C.E.N.A.V.) DEL INSTITUTO NACIONAL DE DEPORTES, LA FRACCION QUE OCUPA ACTUALMENTE.",https://normas.gba.gob.ar/ar-b/ley/1975/8565/12129
2940,ADQUISICIóN DE LAS OBRAS DEL PINTOR ANTONIO DEL NIDO.,https://normas.gba.gob.ar/ar-b/ley/1905/2940/14467
7110,(DEROGADA POR LEY 7474 CONTINUANDO VIGENTES SUS BENEFICIOS SOLO PARA LAS INDUSTRIAS ACOGIDAS A SU RéGIMEN) CONSEJO PROVINCIAL DE PROMOCION INDUSTRIAL. (VER LEY 7556),https://normas.gba.gob.ar/ar-b/ley/1965/7110/8159
7116,"(DEROGADA POR DEC-LEY 9160/78) DONACION AL ESTADO NACIONAL ARGENTINO DE UNA FRACCION DE TERRENO UBICADO EN NUEVE DE JULIO, PDO.DEL MISMO  NOMBRE.",https://normas.gba.gob.ar/ar-b/ley/1965/7116/8155
8556,"DESAFECTANDO DE SU DESTINO ORIGINAL, INMUEBLE FISCAL UBICADO EN CHASCOMUS, DONANDOLO A LA ASOCIACION AMIGOS DEL PAIS, ADMINISTRADA Y DIRIGIDA POR LA CONGREGACION CATOLICA DE LA MISION.",https://normas.gba.gob.ar/ar-b/ley/1975/8556/6872
11349,MODIFICA DEC-LEY 9403/79 SOBRE REGIMEN DE RIFAS PARA ENTIDADES DE BIEN PÚBLICO.,https://normas.gba.gob.ar/ar-b/ley/1992/11349/5465
5724,"CREA UNA ALCALDíA EN LA LOCALIDAD DE ORENSE, CON JURISDICCIóN EN LOS CUARTELES DéCIMO Y DECIMOSéPTIMO DEL PARTIDO DE TRES ARROYOS.",https://normas.gba.gob.ar/ar-b/ley/1953/5724/13921
934,SUSPENSION DE LAS ELECCIONES DE GOBERNADOR.,https://normas.gba.gob.ar/ar-b/ley/1874/934/15173
2950,"MODIFICACION DE LA LEY 2832, SOBRE CANAL DEL NORTE.",https://normas.gba.gob.ar/ar-b/ley/1905/2950/14649
12741,"AUTORIZASE AL PODER EJECUTIVO PARA QUE A TRAVES DEL MRIO. DE ECONOMIA DECLARE DE LIBRE DISPONIBILIDAD LOS FONDOS DE LO ESTABLECIDO EN EL ART. 57 DE LA LEY 12575, PRESUPUESTO GENERAL DE LA ADMINISTRACION PUBLICA PROVINCIAL PARA EL EJERCICIO 2001.",https://normas.gba.gob.ar/ar-b/ley/2001/12741/4121
14281,"DECLARA DE UTILIDAD PúBLICA Y SUJETOS A EXPROPIACIóN INMUEBLES EN EL PARTIDO DE LOMAS DE ZAMORA, QUE SERáN TRANSFERIDOS A LA DIRECCIóN GENERAL DE CULTURA Y EDUCACIóN CON DESTINO AL FUNCIONAMIENTO DE LA ESCUELA DE EDUCACIóN MEDIA Nº 215 DE TEMPERLEY.",https://normas.gba.gob.ar/ar-b/ley/2011/14281/2738
11340,AUTORIZA AL PODER EJECUTIVO A DECLARAR DE EMERGENCIA OBRAS Y/O ACCIONES INDISPENSABLES POR CASOS DE FUERZA MAYOR (REF. INCENDIOS-INUNDACIONES-TERREMOTOS-EPIDEMIAS).,https://normas.gba.gob.ar/ar-b/ley/1992/11340/5476
925,DIVISION ELECTORAL DE LA PROVINCIA.,https://normas.gba.gob.ar/ar-b/ley/1874/925/15026
12732,"DECLáRASE CIUDADANO ILUSTRE POST MORTEM DE LA PROVINCIA AL DIPUTADO NACIONAL GERMáN DARIO ABDALA EN RECONOCIMIENTO A SU LUCHA TENAZ E INCANSABLE POR LOS DERECHOS DE LOS TRABAJADORES, COMO DIRIGENTE SINDICAL Y DESDE SU BANCA EN LA C.DE DIPUTADOS DE LA NAC.",https://normas.gba.gob.ar/ar-b/ley/2001/12732/4125
1510,ELECCION DE CONVENCIONALES PARA LA REFORMA DE LA CONSTITUCION DE 1873.,https://normas.gba.gob.ar/ar-b/ley/1882/1510/12007
5734,ESTATUTO DEL PERSONAL DE POLICIA DE LA PROVINCIA.(MODIFICADA POR DEC-LEYES 22289/56 Y 1285/55)(VER LEY 9550).,https://normas.gba.gob.ar/ar-b/ley/1953/5734/9524
4342,AUTORIZANDO AL PODER EJECUTIVO A DONAR A LA SOCIEDAD CLUB SOCIAL Y DEPORTIVO VERONICA DEL PARTIDO DE MAGDALENA UNA FRACCION DE TERRENO.,https://normas.gba.gob.ar/ar-b/ley/1935/4342/10849
1501,PENSION A BENIGNA TORRES DE FERRER.,https://normas.gba.gob.ar/ar-b/ley/1882/1501/11862
4333,AUTORIZANDEO A LA MUNICIPALIDAD DE NECOCHEA A CONTRATAR UN EMPRESTITO.,https://normas.gba.gob.ar/ar-b/ley/1935/4333/10848
4332,EXIMIENDO DE IMPUESTOS AL CLUB ATLETICO SAN ISIDRO.,https://normas.gba.gob.ar/ar-b/ley/1935/4332/10852
2941,ADQUISICIóN DEL MOBILIARIO PARA LOS TRIBUNALES DE SAN NICOLáS.,https://normas.gba.gob.ar/ar-b/ley/1905/2941/14485
7126,LA DIRECCION DE VIALIDAD PROYECTARA LOS PLANES BASICOS INDISPENSABLES QUE POSIBILITEN EL ARBOLADO Y OBRAS COMPLEMENTARIAS DE EMBELLECIMIENTO EN CAMINOS PAVIMENTADOS DE LA PROVINCIA.,https://normas.gba.gob.ar/ar-b/ley/1965/7126/8148
5725,(DEROGADA POR LEY 7842) CREACION DEL REGISTRO PROVINCIAL DE LAS PERSONAS.DEROGA LA LEY 2114 DEROGA Y LAS DISPOSICIONES DE LA LEY 5004 QUE SE OPONGAN A LA PRESENTE.,https://normas.gba.gob.ar/ar-b/ley/1953/5725/9510
